regime,method,noise,h_profile,direct_hidden_stage_mean_absolute_error,remaining_stage_mean_absolute_error,direct_over_remaining_ratio
var,Expanded LSE + graph control,N2,Hprbs,2.5689752967051676,1.8209703070220986,1.4107727549420122
var,Expanded LSE + graph control,N2,Hsin,3.083440990267922,2.3168193346386414,1.3308940167097025
var,Expanded LSE + graph control,N2,Hstep,3.468451490854721,2.9318920674721345,1.1830079044639612
var,Expanded LSE + graph control,N3,Hbrn,0.08595576669444563,0.06157423780950801,1.3959696417252725
var,Expanded LSE + graph control,N3,Hdec,0.05970602070053892,0.047209110946328785,1.264713939824405
var,Expanded LSE + graph control,N3,Hprbs,1.0523085743121474,0.9058081604749308,1.1617344822334168
var,Expanded LSE + graph control,N3,Hsin,0.1331452223571877,0.11759953481029269,1.1321917435470537
var,Expanded LSE + graph control,N3,Hstep,0.06284276334939384,0.04936881233075901,1.2729243500605736
var,Linear state-space estimator,N1,Hbrn,0.0012999341182952204,0.0011029871948461483,1.1785577605699615
var,Linear state-space estimator,N1,Hdec,0.001817782016411157,0.0012847079417565254,1.4149379460718383
var,Linear state-space estimator,N1,Hprbs,0.0013888898441352941,0.001214751704665526,1.1433528669282385
var,Linear state-space estimator,N1,Hsin,0.0014938254838668223,0.0013116390234976163,1.13889984752313
var,Linear state-space estimator,N1,Hstep,0.0013693302484406357,0.0013546066933992644,1.0108692472236527
var,Linear state-space estimator,N2,Hbrn,0.0013012173391097881,0.001152884913122997,1.1286619542838672
var,Linear state-space estimator,N2,Hdec,0.0018266896585060696,0.0013132123100260576,1.3910086317039043
var,Linear state-space estimator,N2,Hprbs,0.0013942468895570739,0.001243139077628817,1.1215534244297767
var,Linear state-space estimator,N2,Hsin,0.0015018357315452298,0.00138351523458758,1.0855216437084776
var,Linear state-space estimator,N2,Hstep,0.0013779548316701978,0.0013972245001376202,0.9862086096647142
var,Linear state-space estimator,N3,Hbrn,0.038048847477641735,0.03493729499024208,1.0890610589133676
var,Linear state-space estimator,N3,Hdec,0.046255412011422484,0.04175102960447968,1.107886738353861
var,Linear state-space estimator,N3,Hprbs,0.037245395596208916,0.033918195732375624,1.0980948364731975
var,Linear state-space estimator,N3,Hsin,0.035011291642033676,0.03224318492044085,1.0858509086004702
var,Linear state-space estimator,N3,Hstep,0.030227659296381625,0.03037575847925684,0.9951244284821283
var,Neural ODE,N1,Hbrn,0.0023622582082910085,0.0032819543847670816,0.7197717979430895
var,Neural ODE,N1,Hdec,0.004150400818086097,0.00474924946923442,0.873906676196385
var,Neural ODE,N1,Hprbs,0.004254691636442158,0.003735113383819995,1.1391064204029002
var,Neural ODE,N1,Hsin,0.0027432322581256736,0.0034962845491675505,0.7846135574917164
var,Neural ODE,N1,Hstep,0.003531895367130234,0.0035687523737584896,0.9896722992328439
var,Neural ODE,N2,Hbrn,0.0035394553190341116,0.0029700089149871664,1.191732220456788
var,Neural ODE,N2,Hdec,0.003168571748795961,0.003836125806555213,0.8259822301399686
var,Neural ODE,N2,Hprbs,0.00404559720994164,0.003674446017667258,1.101008748118719
var,Neural ODE,N2,Hsin,0.0037286893914659025,0.003822081761734199,0.9755650516942576
var,Neural ODE,N2,Hstep,0.0031341221103878838,0.003664345517288705,0.8553020165813566
var,Neural ODE,N3,Hbrn,0.03402767150360118,0.032325398509453485,1.0526605416372474
var,Neural ODE,N3,Hdec,0.04703144995327136,0.04333722397597932,1.0852437151798107
var,Neural ODE,N3,Hprbs,0.1598418555630524,0.14561800425230495,1.0976792078959035
var,Neural ODE,N3,Hsin,0.0932727522835099,0.07205306180867652,1.2945008850724251
var,Neural ODE,N3,Hstep,0.05308186724496862,0.04214045290991858,1.2596415932794771
var,LSTM sequence model,N1,Hbrn,0.012900839229217522,0.012626481878532403,1.0217287248597398
var,LSTM sequence model,N1,Hdec,0.01496562438478092,0.013708494735535159,1.0917044265981317
var,LSTM sequence model,N1,Hprbs,0.014425470785712878,0.014039201889378655,1.0275135936770348
var,LSTM sequence model,N1,Hsin,0.012783327203663639,0.012586314261657978,1.0156529495378823
var,LSTM sequence model,N1,Hstep,0.01263846751595768,0.012502466821566041,1.010877908842521
var,LSTM sequence model,N2,Hbrn,0.012487476827848024,0.012065273391299864,1.0349932755649454
var,LSTM sequence model,N2,Hdec,0.014696936725952812,0.01375805268567749,1.068242509439779
var,LSTM sequence model,N2,Hprbs,0.014160057177683611,0.013724933091506084,1.031703184509279
var,LSTM sequence model,N2,Hsin,0.013094658031765393,0.013166643088595598,0.9945327707035245
var,LSTM sequence model,N2,Hstep,0.013846510568837426,0.012856460817981275,1.0770079545897615
var,LSTM sequence model,N3,Hbrn,0.010123277816925751,0.009731299685485122,1.0402801418216818
var,LSTM sequence model,N3,Hdec,0.009471933544393695,0.008810354187322855,1.0750911192676886
var,LSTM sequence model,N3,Hprbs,0.010474645146871502,0.009761636259186381,1.0730419438661352
var,LSTM sequence model,N3,Hsin,0.010214651902093894,0.008773140906866036,1.1643095683211588
var,LSTM sequence model,N3,Hstep,0.0094772576538656,0.0090044874454096,1.0525038444800112
var,Linear residual DML,N1,Hbrn,0.0033995840652767026,0.003875307345116786,0.877242438476645
var,Linear residual DML,N1,Hdec,0.00383852701883547,0.0045999953867378995,0.8344632322680595
var,Linear residual DML,N1,Hprbs,0.003335172142046496,0.003759188324375687,0.8872053896369744
var,Linear residual DML,N1,Hsin,0.00328433796855253,0.0038368749621484005,0.8559929632717336
var,Linear residual DML,N1,Hstep,0.0032102506178168394,0.0037195390432522174,0.8630775428048535
