regime,method,noise,h_profile,mean_absolute_error,max_absolute_error,count
var,Expanded DML + graph control,N2,Hbrn,2.3190688377365944,8.942972264885665,24
var,Expanded DML + graph control,N2,Hdec,1.9977211182445143,7.286850452113139,24
var,Expanded DML + graph control,N2,Hprbs,2.2712162256055457,7.604663228709008,24
var,Expanded DML + graph control,N2,Hsin,3.1464825110393964,9.661933379643967,24
var,Expanded DML + graph control,N2,Hstep,2.2269291806602727,11.198489962559794,24
var,Expanded DML + graph control,N3,Hbrn,1.9910675487464193,5.968007378545295,24
var,Expanded DML + graph control,N3,Hdec,1.0822962091757125,5.991498418851732,24
var,Expanded DML + graph control,N3,Hprbs,1.1929809626725574,5.674119620292054,24
var,Expanded DML + graph control,N3,Hsin,2.3924430613972754,10.41025125639055,24
var,Expanded DML + graph control,N3,Hstep,1.6745110423513208,9.66732172551744,24
var,Expanded DML + graph zero,N1,Hbrn,0.4908589058836394,3.711685442262638,24
var,Expanded DML + graph zero,N1,Hdec,0.6657026230720998,3.653948693506802,24
var,Expanded DML + graph zero,N1,Hprbs,0.6660483763943971,3.7597167918014422,24
var,Expanded DML + graph zero,N1,Hsin,0.46622455352797293,3.6778029472840004,24
var,Expanded DML + graph zero,N1,Hstep,0.6867460834258287,3.6546271301789996,24
var,Expanded DML + graph zero,N2,Hbrn,0.49286690855620324,3.720797545113464,24
var,Expanded DML + graph zero,N2,Hdec,0.6676145748331178,3.64302155872448,24
var,Expanded DML + graph zero,N2,Hprbs,0.668123466911457,3.7771722266485996,24
var,Expanded DML + graph zero,N2,Hsin,0.48934950928484716,3.6458859472545244,24
var,Expanded DML + graph zero,N2,Hstep,0.6888670167193549,3.64895885633587,24
var,Expanded DML + graph zero,N3,Hbrn,0.6850865641521375,4.330329992888403,24
var,Expanded DML + graph zero,N3,Hdec,0.6209416440054906,2.7418139791775644,24
var,Expanded DML + graph zero,N3,Hprbs,0.8485427395254795,2.5819116650395877,24
var,Expanded DML + graph zero,N3,Hsin,0.6503545293381156,2.7525843635664655,24
var,Expanded DML + graph zero,N3,Hstep,0.6425356118970074,2.7385290265426754,24
var,Expanded LSE,N1,Hbrn,0.35347184456566244,0.8129781054619336,24
var,Expanded LSE,N1,Hdec,0.33964037463484903,0.8150088698214437,24
var,Expanded LSE,N1,Hprbs,0.26724890405421964,1.3311307317407284,24
var,Expanded LSE,N1,Hsin,0.6606095565905419,2.316155051803978,24
var,Expanded LSE,N1,Hstep,0.3681792560489459,0.8571471959684036,24
var,Expanded LSE,N2,Hbrn,0.3968882544842736,1.0973045422730898,24
var,Expanded LSE,N2,Hdec,0.3700042466727578,1.1271128040963614,24
var,Expanded LSE,N2,Hprbs,0.295342841816215,1.3719708566110285,24
