regime,method,noise,h_profile,t1_t2_mean_absolute_error,t3_t4_mean_absolute_error,t1_t2_over_t3_t4_ratio
var,Linear residual DML,N3,Hbrn,0.8522066702846673,0.27914657046401026,3.0529003772752437
var,Linear residual DML,N3,Hdec,1.1721203795925212,0.3633018880418217,3.2262986187883285
var,Linear residual DML,N3,Hprbs,1.28234108471123,0.3748593034314764,3.420859701153555
var,Linear residual DML,N3,Hsin,0.7315710666530374,0.3634557986037212,2.012819906749308
var,Linear residual DML,N3,Hstep,0.9540552224336695,0.3633863862135737,2.6254567001663647
var,Linear residual DML + graph zero,N1,Hbrn,0.022049271151641948,0.005002716900453018,4.4074593046920745
var,Linear residual DML + graph zero,N1,Hdec,0.8846881915885104,0.008408761244756105,105.21028791728652
var,Linear residual DML + graph zero,N1,Hprbs,0.6675629046798054,0.010703592515277506,62.368116473695736
var,Linear residual DML + graph zero,N1,Hsin,0.011358601363810696,0.005509156596676936,2.0617677432988715
var,Linear residual DML + graph zero,N1,Hstep,0.8612036462126287,0.00829849481153133,103.77829543448372
var,Linear residual DML + graph zero,N2,Hbrn,0.022648181923029267,0.005086065106541382,4.4529870240749725
var,Linear residual DML + graph zero,N2,Hdec,0.884702901492963,0.007127996324325691,124.11663267470274
var,Linear residual DML + graph zero,N2,Hprbs,0.6670649556562727,0.01118555751044811,59.63627249094972
var,Linear residual DML + graph zero,N2,Hsin,0.014698268219565075,0.007232833936234936,2.0321589503016133
var,Linear residual DML + graph zero,N2,Hstep,0.8606533767910732,0.007060875709272226,121.89045838335284
var,Linear residual DML + graph zero,N3,Hbrn,0.8522066702846673,0.27914657046401026,3.0529003772752437
var,Linear residual DML + graph zero,N3,Hdec,0.29676563370246933,0.2957663442085843,1.0033786450468494
var,Linear residual DML + graph zero,N3,Hprbs,1.0204875366613686,0.3202898694082892,3.1861374152939668
var,Linear residual DML + graph zero,N3,Hsin,0.7315710666530374,0.11355027447209365,6.442706281901853
var,Linear residual DML + graph zero,N3,Hstep,0.8519391454461377,0.1014350397534542,8.398864411320215
var,Linear residual DML + graph control,N1,Hbrn,2.275416847315901,0.046347696803388794,49.09449669027631
var,Linear residual DML + graph control,N1,Hdec,3.075416163887281,0.3229924372943014,9.521635211183135
