regime,method,output,count,mean_absolute_error,median_absolute_error,max_absolute_error
zero,Linear residual DML,P,60,0.327978602190467,0.2893330422672671,0.9296304075855044
zero,Linear residual DML,T1,60,0.20625499151688567,0.17139612384293765,0.7858274390192207
zero,Linear residual DML,T2,60,0.15795673551300876,0.11575778760176164,0.5364198003448045
zero,Linear residual DML,T3,60,0.12838630135608903,0.0762653760589421,0.5109490288476355
zero,Linear residual DML,T4,60,0.08590505587797144,0.0776123564838762,0.2985366704504064
zero,Linear residual DML + graph control,C,60,2.160046341378966,2.4045212187326395,7.858852358447622
zero,Linear residual DML + graph control,P,60,1.9436133123175376,0.7968273653991993,12.442212040055246
zero,Linear residual DML + graph control,T1,60,3.207783772159923,1.1305722048280908,12.74500231782271
zero,Linear residual DML + graph control,T2,60,3.1621681206363395,1.2684047922625767,12.904951528350557
zero,Linear residual DML + graph control,T3,60,0.8942902776129723,0.18662872202868513,6.564457106196246
zero,Linear residual DML + graph control,T4,60,0.7719539978902704,0.24158077799425395,8.6888897766855
zero,Linear residual DML + graph zero,C,60,0.09799657784156207,0.06588944177156142,0.4526701759747258
zero,Linear residual DML + graph zero,P,60,0.327978602190467,0.2893330422672671,0.9296304075855044
zero,Linear residual DML + graph zero,T1,60,0.1937179051907397,0.16598636179697374,0.7858274390192207
zero,Linear residual DML + graph zero,T2,60,0.15559263820451488,0.11575778760176164,0.5364198003448045
zero,Linear residual DML + graph zero,T3,60,0.11554812911460145,0.07151795716625955,0.5109490288476355
zero,Linear residual DML + graph zero,T4,60,0.06817960122955936,0.0506037015242281,0.2985366704504064
zero,Linear state-space estimator,C,60,27.799132465516966,11.7001336958424,234.69378969644302
zero,Linear state-space estimator,P,60,19.418327705595303,0.8243820997506717,119.2835091993818
zero,Linear state-space estimator,T1,60,54.23277353058595,21.178554434753295,462.2729234910215
zero,Linear state-space estimator,T2,60,36.16011440694754,16.35271677126594,234.737954339288
zero,Linear state-space estimator,T3,60,15.558187924237727,0.17526109456342392,130.11810905911514
zero,Linear state-space estimator,T4,60,7.941861946021293,0.1022863351406853,63.73743141276311
zero,Matern GP,C,60,0.37579660757560934,0.2725783912171267,1.674566747567213
zero,Matern GP,P,60,0.655118731497992,0.3537154675388532,3.1322337155838174
zero,Matern GP,T1,60,0.3272134913050339,0.21571231356871223,2.2374811238468286
zero,Matern GP,T2,60,0.26176905571413517,0.1999732722303379,0.7367948660712909
zero,Matern GP,T3,60,0.2289269906452128,0.12318621348818515,1.4288159683223753
zero,Matern GP,T4,60,0.1754771654018526,0.1444132597000779,0.9127153855617364
zero,Neural ODE,C,60,78.986439564656,21.789014546880363,1492.1421264882317
zero,Neural ODE,P,60,52.13244136917868,5.334699688253163,1270.0389538296038
zero,Neural ODE,T1,60,69.1007891177287,27.490001212133286,1062.7794416812997
zero,Neural ODE,T2,60,90.14643161537987,19.72103452979285,1275.8130432561238
zero,Neural ODE,T3,60,55.197200159396246,3.3906601504309326,1754.1357506024844
zero,Neural ODE,T4,60,43.741058441632845,3.8313592303741384,1583.7383422398118
zero,RBF GP,C,60,1.1033287080820269,1.1652220626002094,3.6509943972881636
zero,RBF GP,P,60,1.731192334816512,0.49186313217082667,9.672199547042977
zero,RBF GP,T1,60,0.5640809941291441,0.00032210640158749997,4.688857279058367
zero,RBF GP,T2,60,0.2786507773701014,0.000545563076788,2.3460507103868826
zero,RBF GP,T3,60,0.17198022463739956,0.0241869962347381,1.3828509877547361
zero,RBF GP,T4,60,0.15717467486397327,0.03661222325443575,1.3268618854534875
